IU_WCI     140 1 1 1 1 1   21.0 0
NM_SIUC    140 1 1 1 1 1   21.3 0
NM_BLO     145 1 1 1 1 1   22.0 0
NM_SLM     205 1 1 1 1 1   30.8 0
NM_FVM     230 1 1 1 1 1   33.8 0
IU_WVT     260 1 1 1 1 1   36.8 0
NM_PVMO    275 1 1 1 1 1   40.6 0
IU_CCM     295 1 1 1 1 1   42.9 0
NM_MPH     410 0 0 0 0 0   57.9 0
